X,Y,Z,Name,description,gx_media_links
-41.268007,-16.0119425,0,"288",,
-41.2677307,-16.0118806,0,"292",,
-41.2679467,-16.0119554,0,"290",,
-41.2679038,-16.0119745,0,"291",,
-41.267779,-16.0120055,0,"294",,
-41.2674183,-16.0119848,0,"300",,
-41.2671677,-16.0117213,0,"307",,
-41.2672159,-16.0117046,0,"308",,
-41.2672562,-16.0117381,0,"309",,
-41.2672132,-16.0115898,0,"310",,
-41.2673085,-16.0115576,0,"312",,
-41.2675539,-16.0115511,0,"318",,
-41.2676035,-16.0115241,0,"320",,
-41.2676625,-16.0115189,0,"321",,
-41.267912,-16.0116259,0,"324",,
-41.2680783,-16.0116079,0,"328",,
-41.2681038,-16.0116002,0,"329",,
-41.2683197,-16.0114326,0,"335",,
-41.2684323,-16.011537,0,"336",,
-41.2684015,-16.0114184,0,"337",,
-41.2684497,-16.0114274,0,"338",,
-41.2685087,-16.0114184,0,"339",,
-41.2685624,-16.0114094,0,"340",,
-41.2686328,-16.0116187,0,"341",,
-41.2687092,-16.0115427,0,"342",,
-41.2688648,-16.0114783,0,"345",,
-41.2690872,-16.0113104,0,"350",,
-41.2692012,-16.0113078,0,"351",,
-41.2690711,-16.0114445,0,"353",,
-41.2691435,-16.0114535,0,"354",,
-41.2691985,-16.0114561,0,"355",,
-41.2693728,-16.011295,0,"357",,
-41.2694627,-16.0114329,0,"359",,
-41.2696089,-16.0114032,0,"361",,
-41.2696706,-16.0113826,0,"362",,
-41.269924,-16.0113272,0,"369",,
-41.2703032,-16.0112295,0,"375",,
-41.2704173,-16.0111793,0,"376",,
-41.2704387,-16.0110117,0,"378",,
-41.270601,-16.0111225,0,"381",,
-41.2706278,-16.0110968,0,"382",,
-41.2706624,-16.0109189,0,"385",,
-41.2708005,-16.0108828,0,"386",,
-41.2709372,-16.0108328,0,"387",,
-41.2710834,-16.0109681,0,"388",,
-41.2709828,-16.0108147,0,"390",,
-41.2710486,-16.0108125,0,"391",,
-41.2712163,-16.0109234,0,"392",,
-41.2711774,-16.0107674,0,"393",,
-41.2712498,-16.0109066,0,"394",,
-41.2713544,-16.0109028,0,"395",,
-41.2713895,-16.0108742,0,"396",,
-41.2716229,-16.0108072,0,"400",,
-41.2718066,-16.0107504,0,"402",,
-41.271871,-16.0105921,0,"407",,
-41.2719752,-16.0107011,0,"408",,
-41.2720504,-16.010558,0,"410",,
-41.2721,-16.0106947,0,"412",,
-41.2722784,-16.0106496,0,"414",,
-41.2723535,-16.0104781,0,"418",,
-41.2724044,-16.0104846,0,"419",,
-41.2724607,-16.0104691,0,"420",,
-41.2727356,-16.0104183,0,"423",,
-41.2727946,-16.0103977,0,"424",,
-41.273107,-16.0102984,0,"425",,
-41.2735751,-16.010399,0,"428",,
