X,Y,Z,Name,description
-41.4963586,-15.9650945,0,"31",
-41.4959109,-15.9645544,0,"36",
-41.4976451,-15.9638321,0,"55",RUÍNAS
-41.4984173,-15.9650169,0,"62",muro
-41.4989821,-15.9676708,0,"103",
